CpuName,Manufacturer,SingleScore,MultiScore,Cores,Threads,BaseClock,TurboClock,Type,Categories,Price,SubCategories
Ryzen 7 1700X,AMD,987,8872,8,16,3.4,3.8,Desktop,Desktop ,72,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Core i7 10700,Intel,1237,8649,8,16,2.9,4.8,Desktop,Desktop ,227,Very Capable for all categories 
Core i7 9700,Intel,1210,8631,8,8,3,4.7,Desktop,Gaming ,168,Very Capable for all categories (Gaming)
Core i7 9700F,Intel,1193,8631,8,8,3,4.7,Desktop,Gaming ,202,Very Capable for all categories (Gaming)
Ryzen 3 5300G,AMD,1298,8504,4,8,4,4.2,Desktop,Desktop ,150,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing) (budget CPU, might struggle with very demanding tasks)"
Core i3 12100F,Intel,1650,8467,4,8,3.3,4.3,Desktop,Desktop ,136,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i5 10500,Intel,1096,8272,6,12,3.1,4.5,Desktop,Desktop ,228,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i3 12100,Intel,1693,8197,4,8,3.3,4.3,Desktop,Desktop ,138,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing) (budget CPU, might struggle with very demanding tasks)"
Ryzen 7 2700E,AMD,1057,8176,8,16,2.8,4,Desktop,Desktop ,329,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Ryzen 7 1700,AMD,954,8138,8,16,3,3.7,Desktop,Desktop ,219,"Very Capable (older generation, might struggle with very demanding tasks in some categories)"
Core i5 10600T,Intel,1134,7901,6,12,2.4,4,Desktop,Desktop ,213,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i5 10400F,Intel,1119,7724,6,12,2.9,4.3,Desktop,Desktop ,109,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i5 10400,Intel,1137,7670,6,12,2.9,4.3,Desktop,Desktop ,140,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i5 10500T,Intel,1086,7531,6,12,2.3,3.8,Desktop,Desktop ,100,"ery Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Ryzen 5 2600X,AMD,1094,7523,6,12,3.6,4.2,Desktop,Desktop ,77,"ery Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
