name,price,type,efficiency,wattage,modular,color
Cooler Master V850 Gold V2,214.19,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 P5,209.99,ATX,platinum,1000,Full,Blue / Black
be quiet! Straight Power 11 1000W,318.2,ATX,gold,1000,Full,
Corsair RM1000x SHIFT,219.99,ATX,gold,1000,Full / Side,White
Corsair CX500,299.97,ATX,bronze,500,false,
SeaSonic PRIME Fanless,298.99,ATX,titanium,700,Full,Black
EVGA SuperNOVA 1300 P+,259.99,ATX,platinum,1300,Full,Black
Thermaltake Litepower,65.26,ATX,,650,false,
SeaSonic VERTEX PX-850,219.99,ATX,platinum,850,Full,Black / Silver
Corsair AX850,499.98,ATX,titanium,850,Full,Black / Silver
Thermaltake TR2 S,112.43,ATX,plus,700,false,Black
Cooler Master XG750 Plus,128.97,ATX,platinum,750,Full,Black
Corsair RM1200x SHIFT,229.99,ATX,gold,1200,Full / Side,White
Corsair CX650F,196.03,ATX,bronze,650,Full,White / Black
ADATA XPG Core Reactor II,129.99,ATX,gold,1000,Full,Black
Cooler Master GX III GOLD,148.52,ATX,gold,750,Full,Black / Purple
EVGA 600 B1,149.99,ATX,bronze,600,false,
Corsair TX850M Gold,323.98,ATX,gold,850,Semi,
KOLINK Regulator,129.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,197.49,ATX,gold,1200,Full,Black
EVGA SuperNOVA 650 G1,223.49,ATX,gold,650,Full,
EVGA SuperNOVA 550 GA,170.99,ATX,gold,550,Full,Black
MSI MAG A750BN PCIE5,79.0,ATX,bronze,750,false,Black
SeaSonic PRIME Ultra Titanium,312.0,ATX,titanium,850,Full,
Silverstone Strider Platinum S,212.99,ATX,platinum,1000,Full,Black
Super Flower Leadex III ARGB,159.99,ATX,gold,650,Full,White
"FSP Group Hydro PTM X PRO,Gen5",162.99,ATX,platinum,1000,Full,Black
Antec NE1000G M White ATX 3.0,186.48,ATX,gold,1000,Full,White
EVGA N1,54.99,ATX,,550,false,
GAMDIAS KRATOS P1 G,84.99,ATX,gold,750,false,Black
Corsair CX550F,159.99,ATX,bronze,550,Full,Black
