name,price,rpm,noise_level,color,size
MSI MAG CORELIQUID P360,99.0,"500,2000","14.3,34.3",Black,360.0
Lian Li Galahad II Trinity Performance,159.99,"2300,3000","32.1,39.9",White,360.0
Cooler Master MasterLiquid ML360L ARGB V2,119.99,"650,1800","8,27",White,360.0
ID-COOLING DASHFLOW 240 BASIC,59.99,"700,1800","15.2,35.2",White,240.0
Cooler Master MasterLiquid 240 Atmos,133.08,"690,2500",27.2,Black,240.0
Asus TUF GAMING LC 240 ARGB,86.99,"800,2000",29,Black,240.0
NZXT Kraken M22,84.99,"500,2000","21,36",Black,120.0
Thermaltake TH360 V2 ARGB Sync,109.99,"500,2000",25.8,White,360.0
Lian Li Galahad II LCD,224.99,"300,2450",30,Black,360.0
Asus ROG STRIX LC II,129.99,"800,2500",37.6,Black,360.0
Corsair iCUE LINK H100i RGB,169.99,"480,2400",,White,240.0
Thermalright Frozen Edge,46.59,2150,28.1,White,240.0
Enermax Liqmax III 360 ARGB,89.99,"500,1600","14,27",Black,360.0
Lian Li Galahad II LCD,234.99,"300,2450",30,White,360.0
Gigabyte AORUS WATERFORCE 360,169.99,"950,2150","16.9,31",Black,360.0
Deepcool LS520 WH,89.99,"500,2250",32.9,White,240.0
Thermaltake TH360 V2 Ultra ARGB Sync,149.99,"500,1800",25.8,Black,360.0
Corsair H100x,299.99,1700,37,Black,240.0
Cooler Master MasterLiquid 360 Atmos,152.09,"690,2500",27.2,Black,360.0
Lian Li Galahad II Trinity SL-INF,138.82,2100,29,White,240.0
Corsair iCUE H100i ELITE CAPELLIX,149.99,2400,"10,37",White,240.0
EK AIO 280 D-RGB,113.59,"500,2000",36.4,Black / Translucent White,280.0
Cooler Master MasterLiquid ML240L V2 RGB,129.25,"650,1800","8,27",White / Black,240.0
Corsair iCUE LINK H170i RGB,214.99,"400,2000",,Black,420.0
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240.0
Deepcool LS720S ZERO DARK,99.99,"500,2250","28.2,32.9",Black,360.0
Thermaltake TH360 V2 Ultra ARGB Sync,156.99,"500,1800",25.8,White,360.0
Vetroo V360,89.99,"800,1800",,Black,360.0
MSI MAG CORELIQUID 360R V2,140.63,"500,2000","14.3,34.3",White,360.0
Gigabyte AORUS WATERFORCE X II 360 ICE,289.99,"800,2400","12,37.5",White,360.0
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,White,420.0
NZXT Kraken X63 RGB,272.89,"500,1500","22,33",White / Black,280.0
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,235.18,"800,1900",32,White / Silver,240.0
MSI MAG CORELIQUID M360,136.93,"500,2000","14.3,34.3",Black,360.0
Cooler Master MasterLiquid ML240 Illusion,140.47,"650,1800","6,30",Black,240.0
Lian Li GALAHAD AIO 360 RGB,209.0,"800,1900",,Black / Silver,360.0
Fractal Design Lumen S36 RGB V2,134.98,"500,2000","10,33.2",Black,360.0
Phanteks Glacier One 360 T30 Gen2,376.89,"1200,3000","11.1,39.7",Black / Gray,360.0
Corsair iCUE LINK H115i RGB,174.99,"400,2000",,Black,280.0
Phanteks GLACIER ONE 420D30,189.99,"250,1800",29.5,Black,420.0
Lian Li Galahad II LCD,199.99,"300,1550",26.7,White,280.0
be quiet! Silent Loop 2 240,195.48,2200,"16.8,38.3",Black,240.0
ID-COOLING DASHFLOW BASIC,79.98,"700,1800","15.2,35.2",Black,360.0
Corsair iCUE LINK H100i LCD,229.99,"480,2400",,Black,240.0
Asus ROG STRIX LC II,109.99,"800,2500",37.6,Black,240.0
Corsair iCUE H100i ELITE LCD,227.6,"450,2000","10,30.4",Black,240.0
EK EK-Nucleus AIO CR240 Lux D-RGB,127.99,"550,2300",36,White,240.0
ID-COOLING DASHFLOW BASIC,79.98,"700,1800","15.2,35.2",White,360.0
ID-COOLING SL360,169.99,"500,2000",29.9,White,360.0
Thermalright Frozen Magic Scenic V2,42.19,2150,28.1,White,240.0
Fractal Design Lumen S24 V2,143.65,"500,2000","10,33.2",Black,240.0
MSI MAG CORELIQUID M240,102.79,"500,2000","14.3,34.3",Black,240.0
Fractal Design Lumen S36 V2,171.11,"500,2000","10,33.2",Black,360.0
Corsair H115i RGB PLATINUM,289.0,2000,37,Black / Silver,280.0
Thermaltake TH420 V2 Ultra ARGB Sync,151.99,"500,2000",34.7,Black,420.0
Lian Li Galahad II LCD,201.99,"300,1550",26.7,Black,280.0
Asus ROG STRIX LC II 280 ARGB,119.99,"700,2100",35.7,Black,280.0
Gigabyte AORUS WATERFORCE X II 360,289.99,"800,2400","12,37.5",Black,360.0
NZXT Kraken X63 RGB,199.99,"500,1500","22,33",Black,280.0
Corsair iCUE H115i ELITE CAPELLIX,215.0,2000,"10,36",Black,280.0
Phanteks GLACIER ONE 420D30,184.99,"250,1800",29.5,White,420.0
NZXT Kraken X53 RGB,174.99,"500,1500","22,33",White / Black,240.0
Enermax LIQMAX III 360 ARGB,99.99,"500,1600","14,27",White / Black,360.0
Asus ROG RYUJIN II,192.49,"450,2000",29.7,Black,240.0
Thermaltake TH120 V2 ARGB Sync,69.98,"500,2000",25.8,Black,120.0
Asus TUF Gaming LC II ARGB,94.99,"800,2000",29,Black,240.0
Asus ROG Ryujin III,239.99,"600,2200",36.45,White,240.0
Thermaltake TH280 V2 ARGB Sync,99.99,"500,1800",34.7,Black,280.0
Asus ROG RYUO III 240 ARGB,148.63,2200,36.45,Black,240.0
Asus ROG STRIX LC II ARGB,149.99,"800,2500",37.6,White / Black,240.0
Deepcool LS520S ZERO DARK,79.99,"500,2250","28.2,32.9",Black,240.0
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,White,240.0
Enermax LIQMAX III 240 ARGB,73.98,"500,1600","14,27",White / Black,240.0
Gigabyte AORUS WATERFORCE X,186.32,"800,2500","7.9,37.6",Black,240.0
Gigabyte AORUS WATERFORCE 240,176.93,"950,2150","16.9,31",Black,240.0
Asus ROG Ryujin III ARGB,229.99,"600,2200",36.45,Black,240.0
Antec VORTEX 360,142.6,"600,2000",31.24,Black,360.0
Lian Li Galahad AIO360 (2022),239.0,"800,1900",32,Black / Silver,360.0
Asus ROG Ryujin III,209.99,"450,2000",29.7,Black,240.0
Fractal Design Lumen S28 RGB V2,192.07,"500,1700","10,35.5",Black,280.0
ENDORFY Navis F360,147.1,"250,1800",,Black,360.0
be quiet! Silent Loop 2 280,167.24,1600,"16.5,36.1",Black,280.0
Asus ROG RYUJIN 360,277.97,"450,2000",29.7,Black,360.0
Cooler Master MasterLiquid ML240 Illusion,102.05,"650,1800","6,30",White,240.0
Enermax AQUAFUSION ADV 360,119.99,"500,2000","15,32.6",Black,360.0
Asus TUF Gaming LC 120 RGB,61.98,"800,2000",,Black,120.0
Lian Li Galahad AIO240 (2022),174.02,"800,1900",32,Black / Silver,240.0
Asus ROG STRIX LC 360 RGB White Edition,329.99,"800,2500",37.6,White,360.0
Thermaltake TOUGHLIQUID Ultra,199.99,"500,2500",28.1,Black,360.0
Gelid Solutions Liquid 120,64.98,"750,1800",29.6,Black,120.0
ID-COOLING ZOOMFLOW 360 XT,99.99,"500,1500","13.8,30.5",Black,360.0
Thermaltake TH360 ARGB Sync,129.99,1500,28.2,Black,360.0
Deepcool MYSTIQUE,149.99,"500,2150",36.49,Black,240.0
Silverstone IceMyst 360,136.99,"500,2200","12.1,33.1",Silver / Black,360.0
ID-COOLING PINKFLOW 240 Diamond,99.99,"900,2000","16.3,33.5",Pink,240.0
Thermaltake TH240 V2 Ultra ARGB Sync,134.99,"500,1800",25.8,Black,240.0
Thermaltake TH120 V2 ARGB Sync,69.98,"500,2000",25.8,White,120.0
Lian Li Galahad AIO360 (2022),249.95,"800,1900",32,White / Silver,360.0
ID-COOLING SL240,124.99,"500,2000",29.9,White,240.0
Enermax Liqmax III 240 ARGB,79.99,"500,1600","14,27",Black,240.0
Thermaltake TH420 V2 ARGB Sync,119.99,"500,1800",34.7,Black,420.0
Deepcool GAMMAXX L240 A-RGB,319.81,"500,1800",30,Black,240.0
Thermaltake TH280 V2 ARGB Sync,109.99,"500,1800",34.7,White,280.0
Gigabyte AORUS WATERFORCE 280,193.35,"950,2150","17.1,36.5",Black,280.0
Silverstone VIDA 240 SLIM,126.99,"300,1800","15.9,33.9",Black,240.0
EK AIO 120 D-RGB,67.41,"450,2600",36.4,Black,120.0
Thermalright Aqua Elite V3,36.9,1500,25.6,Black,120.0
Thermaltake TOUGHLIQUID Ultra,214.99,"500,2000",33.2,Black,420.0
Thermaltake Floe DX RGB TT Premium Edition B,278.62,"500,1500","19,23.9",Black,360.0
Thermaltake TH120 ARGB Sync,59.99,1500,28.2,Black,120.0
Thermaltake TH360 ARGB Sync,102.99,1500,28.2,White,360.0
